Prime Item Nbr,Prime Item Desc,Item Type,Fineline,Unit Retail,Unit Cost,MU %,Est. POS Store Count,POS Qty,POS Sales,Avg On Hand Qty,Avg Traited Store Count,Avg Repl Store Count,Avg Instock Store Count,Instock %,WM Week
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3541,10862,32550.54,28203,4048,4047,3943,0.974302,201405
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3555,10903,32665.63,34291,4056,4055,4019,0.991122,201406
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3549,10811,32466.99,32580,4053,4052,4031,0.994817,201407
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3458,10096,30244.55,27438,4054,4052,4017,0.991362,201408
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3479,10137,30308.4,24455,4058,4056,4011,0.988905,201409
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3473,10068,30270.3,23319,4064,4062,4012,0.987691,201410
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3439,9787,29266.71,22780,4067,4065,4021,0.989176,201411
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3411,9327,27998.1,22657,4070,4068,4026,0.989676,201412
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3440,9643,28897.46,21773,4072,4071,4021,0.987718,201413
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3445,9447,28326.71,21062,4072,4070,4012,0.985749,201414
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3454,9238,27667.44,19980,4078,4076,4006,0.982826,201415
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3442,8885,26602.39,18850,4087,4085,3995,0.977968,201416
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3477,9099,27237.46,17479,4088,4086,3895,0.953255,201417
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3543,9652,28854.99,18559,4091,4089,3990,0.975789,201418
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3576,9993,29887.25,18431,4095,4094,3987,0.973864,201419
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3600,10150,30349.06,18371,4098,4096,3988,0.973633,201420
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3543,9952,29825.47,19114,4099,4099,4008,0.977799,201421
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3613,10291,30719.17,18683,4099,4098,3988,0.973158,201422
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3614,10111,30246.09,18509,4099,4097,3989,0.973639,201423
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3590,10010,29995.24,18728,4114,4112,4024,0.978599,201424
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3543,9709,29117.73,18897,4118,4116,4026,0.978134,201425
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3581,9735,29209.22,18919,4120,4119,4023,0.976693,201426
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3555,9650,28892.11,18994,4125,4124,4052,0.982541,201427
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3546,9576,28692.48,18888,4142,4140,4059,0.980435,201428
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3576,9277,27794.34,19313,4149,4148,4077,0.982883,201429
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3574,9510,28487.02,18698,4150,4148,4065,0.97999,201430
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3596,9494,28403.66,18915,4150,4148,4069,0.980955,201431
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3555,9375,28097.03,19050,4156,4153,4065,0.97881,201432
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3509,9078,27242.25,19185,4157,4155,4088,0.983875,201433
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3472,8752,26214.77,19057,4160,4158,4097,0.985329,201434
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3540,9236,27765.13,18716,4164,4162,4079,0.980058,201435
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3487,8775,26319.44,17662,4169,4167,4061,0.974562,201436
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3490,8709,26163.9,18089,4174,4173,4066,0.974359,201437
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3467,8561,25664.39,17534,4183,4182,4059,0.970588,201438
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3451,8333,25048.17,18916,4184,4184,4106,0.981358,201439
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3498,8954,26911.34,18666,4197,4196,4091,0.974976,201440
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3492,8714,26168.24,18835,4195,4194,4113,0.980687,201441
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3431,8294,24895.77,18826,4197,4196,4105,0.978313,201442
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3373,7916,23731.83,18650,4197,4196,4097,0.976406,201443
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3558,9239,27765.84,17924,4198,4197,4065,0.968549,201444
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3569,9074,27223.32,18604,4208,4207,4119,0.979082,201445
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3486,9019,27027.63,18458,4214,4213,4082,0.968906,201446
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3385,7773,23293.53,16985,4213,4212,4060,0.963913,201447
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3610,9567,28711.93,15106,4213,4212,3935,0.934236,201448
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3550,9017,27110.13,17034,4233,4232,4067,0.961011,201449
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3645,9737,29148.85,17360,4239,4238,4084,0.963662,201450
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3614,9899,29634.33,17281,4264,4264,4107,0.96318,201451
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3613,9734,29150.9,17457,4290,4289,4143,0.965959,201452
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3697,10525,31530.27,21113,4290,4288,4024,0.938433,201501
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3695,10530,31564.79,18542,4290,4288,4107,0.957789,201502
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3674,9741,29159.22,17677,4291,4289,4105,0.9571,201503
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,3711,10240,30661.74,16920,4292,4290,4099,0.955478,201504
4000909,ERO EAR WAX KIT,20,1560,2.97,1.48,0.501684,1329,1660,4941.69,16920,4292,4290,4099,0.955478,201505
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2770,5133,30261.3,25380,4158,4158,4065,0.977633,201405
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2735,4925,29056.35,25708,4166,4166,4081,0.979597,201406
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2663,4613,27205.95,26828,4163,4163,4099,0.984626,201407
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2626,4590,27063.55,25935,4165,4165,4093,0.982713,201408
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2647,4565,26870.24,25757,4169,4169,4113,0.986568,201409
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2656,4596,27105.88,24873,4175,4175,4110,0.984431,201410
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2583,4458,26294.34,24286,4178,4178,4104,0.982288,201411
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2526,4198,24745.88,24071,4181,4181,4125,0.986606,201412
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2598,4394,25922.95,23276,4183,4182,4105,0.981588,201413
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2546,4317,25453.78,21785,4183,4182,4071,0.973458,201414
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2542,4330,25554.2,20845,4189,4188,4061,0.969675,201415
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2495,4073,24006.02,19195,4197,4197,4051,0.965213,201416
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2479,4050,23880.05,18471,4198,4198,3991,0.950691,201417
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2652,4495,26509.9,20246,4200,4200,4103,0.976905,201418
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2739,4694,27670.84,19693,4204,4204,4084,0.971456,201419
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2680,4747,28003.17,19596,4207,4207,4091,0.972427,201420
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2646,4558,26873.18,19770,4208,4208,4096,0.973384,201421
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2689,4647,27381.35,20329,4208,4208,4114,0.977662,201422
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2637,4488,26451.53,19677,4209,4209,4073,0.967688,201423
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2631,4514,26574.1,20436,4225,4225,4134,0.978462,201424
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2626,4392,25911.78,20214,4228,4228,4126,0.975875,201425
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2536,4196,24717.3,20669,4230,4230,4120,0.973995,201426
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2603,4357,25647.88,21169,4235,4235,4136,0.976623,201427
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2590,4299,25350.15,20728,4252,4252,4184,0.984008,201428
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2581,4188,24697.57,20985,4259,4259,4178,0.980981,201429
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2541,4168,24578.61,20863,4260,4260,4163,0.97723,201430
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2514,4046,23848.36,21007,4260,4260,4176,0.980282,201431
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2523,4082,24040.9,21875,4266,4266,4201,0.984763,201432
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2469,3976,23454.22,21478,4266,4266,4190,0.982185,201433
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2437,3930,23154.86,21343,4268,4268,4199,0.983833,201434
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2476,3962,23385.92,21528,4272,4272,4213,0.986189,201435
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2444,3811,22463.58,21983,4277,4277,4218,0.986205,201436
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2505,4008,23644.48,22019,4281,4281,4223,0.986452,201437
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2434,3821,22487.37,21626,4290,4290,4234,0.986946,201438
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2476,3851,22707.9,21104,4289,4289,4236,0.987643,201439
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2431,3891,22954.62,21461,4302,4302,4251,0.988145,201440
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2378,3658,21536.42,21302,4300,4300,4247,0.987674,201441
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2295,3533,20853.01,21020,4302,4302,4252,0.988377,201442
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2211,3249,19157.14,20516,4301,4301,4231,0.983725,201443
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2479,3849,22691.17,21323,4302,4302,4252,0.988377,201444
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2453,3869,22821.27,21069,4313,4313,4255,0.986552,201445
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2461,3963,23338.17,20329,4319,4319,4238,0.981246,201446
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2293,3435,20226.72,19156,4318,4318,4200,0.972673,201447
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2601,4370,25770.36,17585,4318,4318,4163,0.964104,201448
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2543,4070,23978.38,18363,4338,4338,4193,0.966574,201449
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2533,4218,24812.26,20865,4344,4344,4230,0.973757,201450
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2648,4540,26728.78,21835,4369,4369,4292,0.982376,201451
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2600,4266,25139.94,22067,4395,4395,4316,0.982025,201452
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2653,4540,26782.87,21837,4394,4394,4309,0.980655,201501
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2781,4868,28701.5,21763,4394,4394,4317,0.982476,201502
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2561,4478,26382.94,21103,4395,4395,4278,0.973379,201503
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,2755,4765,28070.22,21124,4396,4396,4285,0.97475,201504
550168489,EQ EARWAX KIT,33,1560,5.88,1.48,0.748299,689,778,4581.49,21124,4396,4396,4285,0.97475,201505
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,1684,2510,5742.12,30613,4181,4173,4009,0.9607,201405
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,1792,2672,6108.99,32142,4189,4182,4026,0.962697,201406
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,1817,2795,6243.05,33216,4186,4179,4030,0.964346,201407
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,2009,3276,6563.7,33180,4188,4181,4040,0.966276,201408
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,2096,3427,6789,41451,4192,4184,4092,0.978011,201409
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,2128,3679,7269.71,63012,4198,4190,4123,0.98401,201410
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,2212,3982,7875.41,125619,4201,4193,4168,0.994038,201411
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,2381,4823,9533.56,139147,4204,4196,4172,0.99428,201412
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,2558,5714,11284.5,137785,4206,4195,4175,0.995232,201413
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,2698,6443,12704,134653,4206,4193,4169,0.994276,201414
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,2824,7055,13920.2,127265,4212,4199,4170,0.993094,201415
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,3030,8887,17534.53,118596,4220,4206,4172,0.991916,201416
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,3398,13037,25710.81,107452,4221,4207,4167,0.990492,201417
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,3522,14153,27922.76,97166,4223,4209,4143,0.984319,201418
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,3523,13981,27582.81,94706,4227,4213,4121,0.978163,201419
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,3712,19772,40360.56,237719,4230,4216,4172,0.989564,201420
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,3701,21830,49337.25,220704,4231,4217,4156,0.985535,201421
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,3806,23613,53840.34,200970,4231,4216,4165,0.987903,201422
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,3784,20293,45114.01,182044,4232,4218,4160,0.986249,201423
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,3762,18275,36364.74,165356,4248,4231,4160,0.983219,201424
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,3617,14435,28484.55,152876,4250,4232,4137,0.977552,201425
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,3532,13086,25811.38,142224,4252,4235,4144,0.978512,201426
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,3382,10447,20621.78,133570,4257,4240,4159,0.980896,201427
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,3197,8571,16894.39,126304,4273,4256,4165,0.978618,201428
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,2959,7001,13814.91,121435,4280,4264,4199,0.984756,201429
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,2907,6696,13215.36,117495,4281,4264,4209,0.987101,201430
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,2843,6291,12416.62,113791,4281,4264,4225,0.990854,201431
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,2535,4876,9617.97,111288,4287,4269,4234,0.991801,201432
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,2255,4479,8841.26,107447,4287,4269,4218,0.988053,201433
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,2168,3738,7378.17,105781,4289,4271,4230,0.9904,201434
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,2144,3630,7162.93,104771,4293,4275,4246,0.993216,201435
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,2090,3463,6839.13,102391,4298,4280,4258,0.99486,201436
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,2065,3384,6685.57,100275,4302,4283,4263,0.99533,201437
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,2013,3237,6390.54,98077,4311,4292,4267,0.994175,201438
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,1934,2963,5849.72,95776,4310,4291,4260,0.992776,201439
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,1880,2834,5604.8,93422,4323,4303,4276,0.993725,201440
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,1893,2926,5776.83,91116,4321,4300,4265,0.99186,201441
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,1772,2697,5322.96,89021,4323,4302,4252,0.988377,201442
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,1720,2585,5100.62,86947,4322,4301,4247,0.987445,201443
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,1814,2705,5345.11,85128,4323,4302,4247,0.987215,201444
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,1870,2801,5528.25,83236,4334,4314,4256,0.986555,201445
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,1749,2638,5214.18,81525,4340,4320,4258,0.985648,201446
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,1450,2132,4215.02,80009,4339,4319,4236,0.980783,201447
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,1759,2777,5487.62,77857,4339,4319,4213,0.975457,201448
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,1670,2573,5078.97,76469,4359,4339,4242,0.977645,201449
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,1737,2710,5359.21,76059,4365,4344,4278,0.984807,201450
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,1849,2896,5723.03,74821,4390,4369,4286,0.981003,201451
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,1847,3047,6020.93,74380,4416,4394,4332,0.98589,201452
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,2019,3499,6904.48,72117,4414,4391,4312,0.982009,201501
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,2150,3686,7271.64,70756,4414,4390,4293,0.977904,201502
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,2134,3586,7082.4,69060,4415,4390,4309,0.981549,201503
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,2210,3781,7462.33,66657,4416,4391,4285,0.97586,201504
550210106,EQUATE EAR DRY,33,1561,1.97,0.81,0.588832,587,671,1327.67,66657,4416,4391,4285,0.97586,201505
